ticket_id,created_at,channel,category,category_label,scenarios,route,reply_mode,priority,is_complaint,confidence,triggers,tools,pii_count,money_mentioned,reason
TK-1030,2026-06-25T09:47:00+08:00,form,payment_billing,付款與發票,payment_billing|product_info,human,ack_only,P1,true,0.95,情境需人工|客訴性質|不可逆動作,order_api|kb_search,1,"21,900、25,400",轉真人（情境需人工、客訴性質、不可逆動作）。客戶詹又寧來信詢問官網標示價格與結帳金額不符的原因。
TK-1031,2026-06-25T10:20:00+08:00,email,payment_billing,付款與發票,payment_billing|order_status,human,ack_only,P1,true,1.00,情境需人工|客訴性質|不可逆動作,order_api,1,"32,500、33,100",轉真人（情境需人工、客訴性質、不可逆動作）。客戶詢問重複扣款處理進度，並表達不滿與要求處理。
TK-1032,2026-06-25T11:02:00+08:00,email,special_request,特殊需求,special_request|product_info,auto,template,P3,false,1.00,,kb_search,1,,可自動處理。客戶詢問家父使用輪椅參加日本溫泉行程的無障礙房與斜坡巴士等特殊需求可行性。
TK-1033,2026-06-25T11:38:00+08:00,form,ask_clarification,資訊不足,ask_clarification|cancel_refund,human,template,P2,false,0.85,情境需人工|不可逆動作,order_api,1,,轉真人（情境需人工、不可逆動作）。客戶詢問是否可以退款，但內文過於簡短且未提供訂單資訊，無法判斷具體訴求。
TK-1034,2026-06-25T13:25:00+08:00,email,non_support,非客服來信,non_support,human,template,P2,false,1.00,情境需人工|非客服來信,ticket_transfer,2,,轉真人（情境需人工、非客服來信）。創作者洽談沖繩行程的互惠合作或業配提案。
TK-1035,2026-06-25T14:10:00+08:00,email,pre_trip_info,行前資訊,pre_trip_info,auto,template,P3,false,1.00,,kb_search,1,,可自動處理。客戶詢問 7/15 曼谷團的出發通知與登機資訊何時會寄出。
TK-1036,2026-06-25T14:55:00+08:00,form,pre_trip_info,行前資訊,pre_trip_info|travel_docs,auto,template,P3,false,1.00,,kb_search,1,,可自動處理。客戶詢問在日本兌換 JR PASS 全國版七日券的地點以及是否需要帶護照正本。
TK-1037,2026-06-26T09:08:00+08:00,email,service_issue,服務品質與求償,service_issue|cancel_refund,human,ack_only,P1,true,0.98,情境需人工|客訴性質|不可逆動作,order_api,1,,轉真人（情境需人工、客訴性質、不可逆動作）。客戶抱怨曼谷飯店房間有蟑螂且換房被拒，不敢繼續入住後續三晚，要求公司處理並尋求補償。
TK-1038,2026-06-26T09:44:00+08:00,form,cancel_refund,取消與退費,cancel_refund,human,template,P2,false,1.00,情境需人工|不可逆動作,order_api,1,,轉真人（情境需人工、不可逆動作）。寄件者宮子墨詢問上週辦理取消退款後，退款大約需要多久才會入帳至信用卡中。
TK-1039,2026-06-26T10:21:00+08:00,email,payment_billing,付款與發票,payment_billing,human,template,P2,false,1.00,情境需人工|不可逆動作,order_api,3,,轉真人（情境需人工、不可逆動作）。客戶要求將已成立訂單的二聯式發票更改為三聯式發票並提供統編與抬頭。
TK-1040,2026-06-26T11:00:00+08:00,email,travel_docs,證件與簽證,travel_docs,auto,template,P3,false,1.00,,kb_search,1,,可自動處理。藍映竹詢問 8 月去曼谷的泰國簽證規定與落地簽是否可用。
TK-1041,2026-06-26T11:35:00+08:00,form,test_noise,測試與無效內容,test_noise,auto,none,P3,false,1.00,,,0,,不受理，自動關單。寄件者發送了一封內容為測試的測試信件，屬於系統測試或無效內容。
TK-1042,2026-06-26T13:15:00+08:00,email,order_status,訂單狀態確認,order_status,auto,template,P3,false,1.00,,order_api,1,,可自動處理。客戶詢問已付款的六福村門票訂單狀態，並要求補發尚未收到的電子票券 QR code。
TK-1043,2026-06-26T14:02:00+08:00,form,cancel_refund,取消與退費,cancel_refund|booking_change|product_info,human,template,P2,false,1.00,情境需人工|不可逆動作,order_api|kb_search,1,,轉真人（情境需人工、不可逆動作）。客戶的公司團體報名人數減少，詢問退費計算、剩餘團費變動及是否能成團。
TK-1044,2026-06-26T14:40:00+08:00,email,service_issue,服務品質與求償,service_issue|cancel_refund,human,ack_only,P1,true,1.00,情境需人工|客訴性質|不可逆動作,order_api,1,"1,500 元",轉真人（情境需人工、客訴性質、不可逆動作）。客戶抱怨客服先前提供錯誤資訊導致多收改期費，要求退還多收的款項。
TK-1045,2026-06-27T09:30:00+08:00,form,special_request,特殊需求,special_request|booking_change,human,template,P2,false,0.95,情境需人工|不可逆動作,kb_search|order_api,1,,轉真人（情境需人工、不可逆動作）。客戶沈柏睿詢問廉航行程如何加購托運行李及其相關費用和期限。
TK-1046,2026-06-27T10:12:00+08:00,email,payment_billing,付款與發票,payment_billing,human,template,P2,false,1.00,情境需人工|不可逆動作,order_api,1,,轉真人（情境需人工、不可逆動作）。客戶詢問購買行程後是否能開立英文收據以及需要提供哪些資訊。
TK-1047,2026-06-27T11:05:00+08:00,email,non_support,非客服來信,non_support,human,template,P2,false,1.00,情境需人工|非客服來信,ticket_transfer,1,,轉真人（情境需人工、非客服來信）。記者步鎮宇來信邀請公司發言人受訪或提供暑假旅遊趨勢的書面回覆。
TK-1048,2026-06-27T11:42:00+08:00,form,policy_terms,條款與規定,policy_terms,auto,template,P3,false,1.00,,kb_search,1,,可自動處理。客戶詢問跟團在出發前3天取消的手續費比例以及定型化契約的退費級距規定。
